capture_id,ground_truth_cm,repeat_index,gemma_only_main_object,sensor_assisted_main_object,gemma_only_description,sensor_assisted_description,main_object_text_equal,description_text_equal
6aaea61a-1cbc-4763-a824-c1d5b77fcd9a,30.0,1,Permukaan bertekstur gelap,Permukaan bertekstur gelap,Gambar ini menampilkan close-up dari permukaan panel gelap dengan pola berlubang atau bertekstur. Terdapat benda kecil berwarna terang yang terlihat di bagian atas gambar.,Gambar ini menampilkan permukaan gelap dengan pola lubang melingkar. Terdapat benda berwarna terang yang tampak di bagian atas gambar.,1,0
f9aa8e50-d140-4133-b521-23a12ec4ac97,30.0,2,Permukaan material bertekstur gelap,Permukaan bertekstur gelap,Gambar menampilkan permukaan material berwarna gelap dengan pola banyak lubang melingkar yang terdistribusi merata. Terdapat sedikit potongan bahan berwarna terang di bagian atas gambar.,Gambar menunjukkan permukaan panel berwarna gelap dengan pola lubang melingkar. Terdapat potongan kecil material berwarna terang yang terlihat di bagian atas gambar.,0,0
b6aa1f8d-e899-4126-a2f4-05a167708f7d,30.0,3,Permukaan bertekstur gelap,Permukaan bertekstur gelap,Gambar ini menampilkan close-up dari permukaan berwarna gelap dengan pola lubang atau titik yang terdistribusi merata. Terdapat potongan bahan berwarna terang yang terlihat di bagian atas gambar.,Gambar ini menampilkan permukaan berwarna gelap dengan tekstur berlubang yang menutupi sebagian besar bingkai. Terdapat potongan kecil berwarna terang yang terlihat di bagian atas kanan gambar.,1,0
d4b30eef-025e-4b67-a926-2bdead833292,50.0,4,koper/wadah besar,koper/kotak besar berwarna abu-abu,Gambar ini menampilkan koper atau wadah besar berwarna abu-abu yang diletakkan di atas roda. Objek tersebut mendominasi sebagian besar bingkai gambar.,"Gambar ini menampilkan koper atau kotak besar berwarna abu-abu yang diletakkan di atas roda, mengisi sebagian besar bingkai. Tidak ada hambatan lain yang terlihat dalam pandangan ini.",0,0
827a0275-b84b-4487-81aa-93fc8859788c,50.0,5,koper,kotak besar bertekstur,Gambar ini menampilkan koper besar berwarna abu-abu dengan banyak lubang melingkar di permukaannya. Koper tersebut tampak diletakkan di atas roda.,Gambar menunjukkan pandangan dekat dari bagian bawah sebuah objek persegi panjang berwarna abu-abu gelap dengan banyak lubang melingkar. Objek ini tampaknya merupakan bagian dari perangkat beroda.,0,0
584d90bd-bff0-4795-9bf5-1b3e32b13ce1,50.0,6,koper,koper besar abu-abu,Gambar ini menampilkan sebuah koper besar berwarna abu-abu yang diletakkan di atas lantai. Koper tersebut memiliki banyak tonjolan melingkar dan tampak berada di tengah bingkai.,Gambar ini menampilkan koper besar berwarna abu-abu yang diletakkan di dalam ruangan dengan latar belakang dinding berwarna terang. Koper tersebut memiliki dua tiang vertikal yang menonjol dari bagian atasnya.,0,0
2dff46c3-2d49-4fd9-a166-bc0b26a3c8d8,75.0,1,koper,koper/tas,Sebuah koper hitam besar diletakkan di atas lantai ruangan. Objek tersebut mendominasi sebagian besar bingkai gambar.,Gambar menunjukkan sebuah koper atau tas besar berwarna gelap yang diletakkan di atas lantai ruangan. Latar belakangnya adalah dinding polos berwarna terang.,0,0
6cba3a3c-f522-4e76-acc6-6897fef41724,75.0,2,koper/tas,koper/tas roda,Gambar ini menampilkan sebuah koper hitam dengan roda yang diletakkan di atas lantai. Objek tersebut berada di tengah bingkai dan tampak jelas.,Gambar ini menampilkan sebuah koper atau tas roda berwarna hitam yang diletakkan di atas lantai. Latar belakangnya adalah dinding polos berwarna terang.,0,0
dbd84319-ebc3-483d-882a-48f0b22eca11,75.0,3,koper,koper/tas,Sebuah koper besar berwarna gelap diletakkan di atas lantai keramik. Objek tersebut mendominasi bagian depan gambar.,Gambar ini menampilkan sebuah koper besar berwarna gelap yang diletakkan di atas lantai keramik. Latar belakangnya adalah dinding polos berwarna terang.,0,0
131c0f0f-3c1a-4b17-aaa9-18b0ecc9ad12,100.0,1,koper besar,koper/tas,Sebuah koper besar berwarna gelap diletakkan di atas lantai keramik dalam ruangan. Terdapat kabel atau kawat terlihat di sisi kanan gambar.,Gambar ini menampilkan sebuah koper atau tas berwarna gelap yang diletakkan di atas lantai keramik di dalam ruangan. Objek tersebut berada di tengah bingkai dengan latar belakang dinding berwarna terang.,0,0
81adb4ed-b5a7-4712-9aae-9426a12d520c,100.0,2,koper,koper,Gambar ini menampilkan sebuah koper besar berwarna gelap yang diletakkan di atas lantai keramik. Koper tersebut berada di tengah bingkai dengan latar belakang dinding polos.,Sebuah koper berwarna gelap diletakkan di atas lantai keramik dengan latar belakang dinding berwarna terang. Objek tersebut mendominasi bagian tengah gambar.,1,0
91a63be4-e5c3-4109-8463-7398572db8bf,100.0,3,koper,koper/tas besar,Sebuah koper berwarna gelap dengan roda diletakkan di atas lantai keramik di depan dinding berwarna terang. Objek utama mendominasi bagian tengah gambar.,Gambar ini menampilkan sebuah koper atau tas besar berwarna gelap yang diletakkan di atas lantai keramik ruangan indoor. Objek tersebut mendominasi bagian tengah bingkai gambar.,0,0
b9953395-f6ea-4a66-84c8-9f23695a13ab,150.0,1,koper,koper,Sebuah koper berwarna gelap diletakkan di atas lantai keramik terang di dalam ruangan. Objek tersebut mendominasi area depan gambar.,Sebuah koper hitam diletakkan di atas lantai keramik di depan dinding berwarna terang. Tidak ada hambatan signifikan yang terlihat dalam gambar ini.,1,0
16fac600-2de1-4026-8925-63060e19e153,150.0,2,koper/tas,koper,Gambar ini menampilkan sebuah koper berwarna hitam diletakkan di atas lantai keramik putih di dalam ruangan. Latar belakangnya adalah dinding polos berwarna terang.,Gambar ini menampilkan sebuah koper besar berwarna gelap yang diletakkan di atas lantai keramik ruangan indoor. Objek tersebut berada tepat di tengah bingkai dengan latar belakang dinding polos.,0,0
c0aea9f6-0ef3-47ec-9564-572e93fdcdcf,150.0,3,koper,koper,Sebuah koper hitam diletakkan di atas lantai keramik dalam ruangan. Latar belakangnya adalah dinding polos dan lantai berwarna putih.,Sebuah koper hitam diletakkan di lantai keramik putih dalam lingkungan indoor. Objek tersebut mendominasi bagian tengah gambar dan tampak jelas.,1,0
ea20341d-ae41-4891-ac30-ae5b89c8d3f5,200.0,1,koper/tas hitam,koper,Sebuah koper berwarna hitam diletakkan di atas lantai keramik putih di dalam ruangan. Objek tersebut menjadi fokus utama dalam bingkai gambar.,Gambar menunjukkan lingkungan indoor dengan lantai keramik dan dinding berwarna terang. Objek utama adalah sebuah koper hitam yang diletakkan di tengah lantai.,0,0
560e1c4e-7e28-4f7a-b4dd-16a0f924eaa2,200.0,2,koper,koper,Gambar menunjukkan sebuah koper berwarna gelap diletakkan di lantai ruangan berubin. Latar belakang adalah dinding polos dan lantai keramik putih.,Gambar ini menampilkan sebuah koper hitam besar yang diletakkan di lantai ruangan indoor. Latar belakangnya adalah dinding berwarna terang dan lantai keramik putih.,1,0
2a6c0c81-5047-4788-abae-60b1f78f948b,200.0,3,koper atau kotak penyimpanan,koper,Gambar menunjukkan sebuah koper besar berwarna gelap yang diletakkan di atas lantai keramik putih di dalam ruangan. Latar belakangnya adalah dinding polos dan lantai berubin.,Sebuah koper berwarna gelap dengan roda tampak berada di lantai berubin ruangan indoor. Lingkungan tampak bersih dengan dinding dan lantai berwarna terang.,0,0
