mode,ground_truth,prediction,count
depth_only,dekat,dekat,20
depth_only,dekat,jauh,1
depth_only,dekat,sangat_dekat,1
depth_only,dekat,sedang,3
depth_only,jauh,dekat,1
depth_only,jauh,jauh,5
depth_only,jauh,sedang,1
depth_only,sangat_dekat,dekat,2
depth_only,sedang,dekat,2
depth_only,sedang,jauh,3
depth_only,sedang,sedang,5
gemma_depth,dekat,dekat,20
gemma_depth,dekat,jauh,1
gemma_depth,dekat,sangat_dekat,1
gemma_depth,dekat,sedang,3
gemma_depth,jauh,dekat,1
gemma_depth,jauh,jauh,5
gemma_depth,jauh,sedang,1
gemma_depth,sangat_dekat,dekat,2
gemma_depth,sedang,dekat,2
gemma_depth,sedang,jauh,3
gemma_depth,sedang,sedang,5
gemma_depth_prompted,dekat,dekat,20
gemma_depth_prompted,dekat,jauh,1
gemma_depth_prompted,dekat,sangat_dekat,1
gemma_depth_prompted,dekat,sedang,3
gemma_depth_prompted,jauh,dekat,1
gemma_depth_prompted,jauh,jauh,5
gemma_depth_prompted,jauh,sedang,1
gemma_depth_prompted,sangat_dekat,dekat,2
gemma_depth_prompted,sedang,dekat,2
gemma_depth_prompted,sedang,jauh,3
gemma_depth_prompted,sedang,sedang,5
