image_name,condition,structured_output_valid,mark_protocol_valid,expected_targets,returned_targets,matched_targets,hallucinated_mark_ids,latency_ms,error
living_room_1p (213).jpg,baseline,True,True,3,2,2,0,26287,
living_room_1p (213).jpg,som_control,True,True,3,3,2,0,25976,
living_room_1p (213).jpg,depth_guided,True,True,3,3,1,0,32587,
living_room_1p (118).jpg,baseline,True,True,2,2,2,0,32973,
living_room_1p (118).jpg,som_control,True,True,3,3,2,0,23572,
living_room_1p (118).jpg,depth_guided,True,True,3,3,1,0,24171,
living_room_1p (408).jpg,baseline,True,True,3,1,1,0,27565,
living_room_1p (408).jpg,som_control,True,True,3,3,0,0,25346,
living_room_1p (408).jpg,depth_guided,True,False,3,2,0,0,18512,mark IDs were missing or duplicated
living_room_213.jpg,baseline,True,True,3,2,2,0,45197,
living_room_213.jpg,som_control,True,True,3,3,2,0,25144,
living_room_213.jpg,depth_guided,True,True,3,3,3,0,35248,
living_room_1p (52).jpg,baseline,True,True,3,1,1,0,30083,
living_room_1p (52).jpg,som_control,True,True,3,3,0,0,31528,
living_room_1p (52).jpg,depth_guided,True,True,3,3,2,0,23380,
living_room_1p (97).jpg,baseline,True,True,2,1,1,0,37424,
living_room_1p (97).jpg,som_control,True,True,3,3,0,0,29485,
living_room_1p (97).jpg,depth_guided,True,True,3,3,2,0,32923,
living_room_258.jpg,baseline,True,True,3,3,3,0,28125,
living_room_258.jpg,som_control,True,True,3,3,1,0,29597,
living_room_258.jpg,depth_guided,True,True,3,3,1,0,44286,
living_room_408.jpg,baseline,True,True,3,3,3,0,33452,
living_room_408.jpg,som_control,True,True,3,3,2,0,26587,
living_room_408.jpg,depth_guided,True,True,3,3,1,0,44199,
living_room_131.jpg,baseline,True,True,2,2,2,0,28593,
living_room_131.jpg,som_control,True,True,3,3,2,0,27949,
living_room_131.jpg,depth_guided,True,True,3,3,1,0,30991,
living_room_1p (151).jpg,baseline,True,True,3,3,3,0,38835,
living_room_1p (151).jpg,som_control,True,True,3,3,3,0,26415,
living_room_1p (151).jpg,depth_guided,True,True,3,3,3,0,35056,
living_room_1p (169).jpg,baseline,True,True,3,2,2,0,33324,
living_room_1p (169).jpg,som_control,True,True,3,3,1,0,28471,
living_room_1p (169).jpg,depth_guided,True,True,3,3,2,0,45503,
living_room_1p (205).jpg,baseline,True,True,3,0,0,0,32893,
living_room_1p (205).jpg,som_control,True,True,3,3,0,0,22699,
living_room_1p (205).jpg,depth_guided,True,True,3,3,0,0,21496,
